patch_kind,layer,critical_qk,gold_probability,gold_vs_fixed_competitor_margin,gold_vs_strongest_margin,top_token_id,top_token_label,strongest_competitor_token_id,strongest_competitor_token_label,qk_recovery_fraction,fixed_margin_recovery_fraction
residual_in,19,14.460689005,0.3365410877,0.5,0.5,11627,␠nine,4710,␠↵↵,0.858548403,0.8666666667
residual_in,20,15.0711327355,0.4748480061,1.0,1.0,11627,␠nine,4710,␠↵↵,0.9760631747,1.0
residual_in,21,15.1096198812,0.4766410475,1.0,1.0,11627,␠nine,4710,␠↵↵,0.9834722247,1.0
residual_in,22,15.1107281023,0.4788361583,1.0,1.0,11627,␠nine,4710,␠↵↵,0.9836855652,1.0
residual_in,23,15.0621345385,0.4886623462,1.125,1.125,11627,␠nine,4710,␠↵↵,0.9743309576,1.0333333333
residual_in,24,13.0110684238,0.4930306986,1.125,1.125,11627,␠nine,4710,␠↵↵,0.5794861028,1.0333333333
residual_in,25,11.0441830395,0.4803088434,1.125,1.125,11627,␠nine,4710,␠↵↵,0.200846639,1.0333333333
residual_in,26,10.9755812314,0.5041933873,1.25,1.25,11627,␠nine,4710,␠↵↵,0.1876403017,1.0666666667
residual_in,27,10.5606615595,0.5177048479,1.25,1.25,11627,␠nine,4710,␠↵↵,0.1077653057,1.0666666667
residual_in,28,10.5556673029,0.5076353688,1.25,1.25,11627,␠nine,4710,␠↵↵,0.1068038757,1.0666666667
residual_in,29,10.4151095824,0.5002248783,1.25,1.25,11627,␠nine,4710,␠↵↵,0.0797455121,1.0666666667
residual_in,30,10.2343737774,0.5026570566,1.25,1.25,11627,␠nine,4710,␠↵↵,0.0449525807,1.0666666667
residual_in,31,10.2104438147,0.5001733594,1.25,1.25,11627,␠nine,4710,␠↵↵,0.0403458922,1.0666666667
residual_in,32,10.1300348818,0.4770548769,1.125,1.125,11627,␠nine,4710,␠↵↵,0.0248665992,1.0333333333
