condition,seed,bucket,sense_class,dominant_route_expert,best_function_expert,dominant_route_ce_delta,max_ce_delta,route_function_alignment
flat_uniform,20260523,head,r_family_5,2,3,0.0,0.7851256639466252,0.0
flat_uniform,20260523,head,r_family_6,2,3,0.0,0.12300007668090984,0.0
flat_uniform,20260523,head,r_family_7,2,0,0.0,0.08075225129141472,0.0
flat_uniform,20260523,middle,A_family_0,3,3,0.22764503458135246,0.22764503458135246,1.0
flat_uniform,20260523,middle,A_family_1,3,3,0.44883299377973646,0.44883299377973646,1.0
flat_uniform,20260523,middle,A_family_2,2,3,0.0,0.0299062429727807,0.0
flat_uniform,20260523,middle,A_family_3,2,3,0.0,0.12286175065795155,0.0
flat_uniform,20260523,middle,A_family_4,3,3,0.11172034475051382,0.11172034475051382,1.0
flat_uniform,20260523,middle,A_family_5,2,3,0.0,0.1926117485430344,0.0
flat_uniform,20260523,middle,A_family_6,3,3,0.1336460098752165,0.1336460098752165,1.0
flat_uniform,20260523,middle,A_family_7,0,3,0.0,0.15287616121713654,0.0
flat_uniform,20260523,middle,C_family_0,0,0,0.4013800580281289,0.4013800580281289,1.0
flat_uniform,20260523,middle,C_family_1,0,0,0.8065379576061483,0.8065379576061483,1.0
flat_uniform,20260523,middle,C_family_2,2,0,0.0,0.00821470517621492,0.0
flat_uniform,20260523,middle,C_family_3,0,0,0.06638837607715686,0.06638837607715686,1.0
flat_uniform,20260523,middle,C_family_4,3,3,0.017194556971541413,0.017194556971541413,1.0
flat_uniform,20260523,middle,C_family_5,0,0,0.797391134139616,0.797391134139616,1.0
flat_uniform,20260523,middle,C_family_6,0,0,0.061741246264015594,0.061741246264015594,1.0
flat_uniform,20260523,middle,C_family_7,0,0,0.21173743155911023,0.21173743155911023,1.0
flat_uniform,20260523,middle,r_family_0,0,0,0.6374051446188485,0.6374051446188485,1.0
flat_uniform,20260523,middle,r_family_1,2,3,0.0,0.02913441157579655,0.0
flat_uniform,20260523,middle,r_family_2,2,2,1.012748111773059,1.012748111773059,1.0
flat_uniform,20260523,middle,r_family_3,2,2,0.09472859707602765,0.09472859707602765,1.0
flat_uniform,20260523,middle,r_family_4,3,3,0.9655701581262595,0.9655701581262595,1.0
flat_uniform,20260523,middle,r_family_5,3,3,0.49125531556273927,0.49125531556273927,1.0
flat_uniform,20260523,middle,r_family_6,2,3,0.0,0.22546713834284068,0.0
flat_uniform,20260523,middle,r_family_7,2,0,0.0,0.09358918201420845,0.0
flat_uniform,20260523,tail,A_family_0,3,3,0.06926237711377325,0.06926237711377325,1.0
flat_uniform,20260523,tail,A_family_1,2,3,0.0,0.20217536874770303,0.0
flat_uniform,20260523,tail,A_family_2,2,3,0.0,0.0424830742431368,0.0
flat_uniform,20260523,tail,A_family_3,3,3,0.05922236102075355,0.05922236102075355,1.0
flat_uniform,20260523,tail,A_family_4,3,3,0.0816616694834617,0.0816616694834617,1.0
flat_uniform,20260523,tail,A_family_5,2,3,0.0,0.3152095553341496,0.0
flat_uniform,20260523,tail,A_family_6,2,3,0.0,0.11713649984691679,0.0
flat_uniform,20260523,tail,A_family_7,3,3,0.1522192017364432,0.1522192017364432,1.0
flat_uniform,20260523,tail,C_family_0,0,0,0.4724607342601909,0.4724607342601909,1.0
flat_uniform,20260523,tail,C_family_1,0,0,0.37546347654157824,0.37546347654157824,1.0
flat_uniform,20260523,tail,C_family_2,0,0,0.012221314799414055,0.012221314799414055,1.0
flat_uniform,20260523,tail,C_family_3,0,0,0.011300469654088374,0.011300469654088374,1.0
flat_uniform,20260523,tail,C_family_4,2,3,0.0,0.013150643042536103,0.0
flat_uniform,20260523,tail,C_family_5,0,0,0.9606026577918481,0.9606026577918481,1.0
flat_uniform,20260523,tail,C_family_6,0,0,0.018548674263001885,0.018548674263001885,1.0
flat_uniform,20260523,tail,C_family_7,0,0,0.385420092153557,0.385420092153557,1.0
flat_uniform,20260523,tail,r_family_0,0,0,0.7190872635625661,0.7190872635625661,1.0
flat_uniform,20260523,tail,r_family_1,2,0,0.0,0.028439888144930592,0.0
flat_uniform,20260523,tail,r_family_2,2,2,1.0633598601404324,1.0633598601404324,1.0
flat_uniform,20260523,tail,r_family_3,2,2,0.04980645165899963,0.04980645165899963,1.0
flat_uniform,20260523,tail,r_family_4,2,3,0.0,0.7299758591610346,0.0
flat_uniform,20260523,tail,r_family_5,0,3,0.0,0.9410404350225386,0.0
flat_uniform,20260523,tail,r_family_6,2,3,0.0,0.1388943321314097,0.0
flat_uniform,20260523,tail,r_family_7,0,0,0.12882244255645978,0.12882244255645978,1.0
flat_uniform,20260524,head,A_family_0,2,2,0.13967826474496783,0.13967826474496783,1.0
flat_uniform,20260524,head,A_family_1,0,2,0.0,0.35430149914221454,0.0
flat_uniform,20260524,head,A_family_2,2,2,0.013868882562140547,0.013868882562140547,1.0
flat_uniform,20260524,head,A_family_3,2,2,0.21112779097408443,0.21112779097408443,1.0
flat_uniform,20260524,head,A_family_4,2,2,0.10144605237049595,0.10144605237049595,1.0
flat_uniform,20260524,head,A_family_5,2,2,0.32060280298295163,0.32060280298295163,1.0
flat_uniform,20260524,head,A_family_6,3,2,0.0,0.05265931403603948,0.0
flat_uniform,20260524,head,A_family_7,2,2,0.5733782992101624,0.5733782992101624,1.0
flat_uniform,20260524,head,C_family_0,1,1,0.09002207106702068,0.09002207106702068,1.0
flat_uniform,20260524,head,C_family_1,1,1,0.15136620890795408,0.15136620890795408,1.0
flat_uniform,20260524,head,C_family_2,1,1,0.22616021149224252,0.22616021149224252,1.0
flat_uniform,20260524,head,C_family_3,1,1,0.0804327617194455,0.0804327617194455,1.0
flat_uniform,20260524,head,C_family_4,1,1,0.07553878694792122,0.07553878694792122,1.0
flat_uniform,20260524,head,C_family_5,1,1,0.16718232017107462,0.16718232017107462,1.0
flat_uniform,20260524,head,C_family_6,1,1,0.22708641803910723,0.22708641803910723,1.0
flat_uniform,20260524,head,C_family_7,1,1,0.3093151569222149,0.3093151569222149,1.0
flat_uniform,20260524,head,r_family_0,1,1,0.4912002512149532,0.4912002512149532,1.0
flat_uniform,20260524,head,r_family_1,1,1,0.08509204372724828,0.08509204372724828,1.0
