step,tokens,loss,model
3180,416808960,4.4945,old_baseline_4e_top1
3190,418119680,4.5222,old_baseline_4e_top1
3200,419430400,4.5224,old_baseline_4e_top1
3210,420741120,4.506,old_baseline_4e_top1
3220,422051840,4.492,old_baseline_4e_top1
3230,423362560,4.4016,old_baseline_4e_top1
3240,424673280,4.4245,old_baseline_4e_top1
3250,425984000,4.5226,old_baseline_4e_top1
3260,427294720,4.4992,old_baseline_4e_top1
3270,428605440,4.4953,old_baseline_4e_top1
3280,429916160,4.4765,old_baseline_4e_top1
3290,431226880,4.5029,old_baseline_4e_top1
3300,432537600,4.4311,old_baseline_4e_top1
3310,433848320,4.4986,old_baseline_4e_top1
3320,435159040,4.4361,old_baseline_4e_top1
3330,436469760,4.5316,old_baseline_4e_top1
3340,437780480,4.3789,old_baseline_4e_top1
3350,439091200,4.4884,old_baseline_4e_top1
3360,440401920,4.4048,old_baseline_4e_top1
3370,441712640,4.5293,old_baseline_4e_top1
3380,443023360,4.4148,old_baseline_4e_top1
3390,444334080,4.5295,old_baseline_4e_top1
3400,445644800,4.3478,old_baseline_4e_top1
3410,446955520,4.4827,old_baseline_4e_top1
3420,448266240,4.4604,old_baseline_4e_top1
3430,449576960,4.4052,old_baseline_4e_top1
3440,450887680,4.4865,old_baseline_4e_top1
3450,452198400,4.3219,old_baseline_4e_top1
3460,453509120,4.4224,old_baseline_4e_top1
3470,454819840,4.4432,old_baseline_4e_top1
3480,456130560,4.413,old_baseline_4e_top1
3490,457441280,4.4615,old_baseline_4e_top1
3500,458752000,4.4604,old_baseline_4e_top1
3510,460062720,4.3411,old_baseline_4e_top1
3520,461373440,4.4175,old_baseline_4e_top1
3530,462684160,4.3989,old_baseline_4e_top1
3540,463994880,4.4213,old_baseline_4e_top1
3550,465305600,4.4495,old_baseline_4e_top1
3560,466616320,4.4474,old_baseline_4e_top1
3570,467927040,4.4463,old_baseline_4e_top1
3580,469237760,4.4122,old_baseline_4e_top1
3590,470548480,4.4214,old_baseline_4e_top1
3600,471859200,4.3762,old_baseline_4e_top1
3610,473169920,4.419,old_baseline_4e_top1
3620,474480640,4.4085,old_baseline_4e_top1
3630,475791360,4.3521,old_baseline_4e_top1
3640,477102080,4.4553,old_baseline_4e_top1
3650,478412800,4.3703,old_baseline_4e_top1
3660,479723520,4.3057,old_baseline_4e_top1
3670,481034240,4.4793,old_baseline_4e_top1
3680,482344960,4.3975,old_baseline_4e_top1
3690,483655680,4.3317,old_baseline_4e_top1
3700,484966400,4.4254,old_baseline_4e_top1
3710,486277120,4.4113,old_baseline_4e_top1
3720,487587840,4.3497,old_baseline_4e_top1
3730,488898560,4.2773,old_baseline_4e_top1
3740,490209280,4.3204,old_baseline_4e_top1
3750,491520000,4.3073,old_baseline_4e_top1
3760,492830720,4.3354,old_baseline_4e_top1
3770,494141440,4.3883,old_baseline_4e_top1
3780,495452160,4.4032,old_baseline_4e_top1
3790,496762880,4.3707,old_baseline_4e_top1
3800,498073600,4.3928,old_baseline_4e_top1
3810,499384320,4.3187,old_baseline_4e_top1
3820,500695040,4.3071,old_baseline_4e_top1
3830,502005760,4.3722,old_baseline_4e_top1
3840,503316480,4.3664,old_baseline_4e_top1
3850,504627200,4.3393,old_baseline_4e_top1
3860,505937920,4.3839,old_baseline_4e_top1
3870,507248640,4.3912,old_baseline_4e_top1
3880,508559360,4.2936,old_baseline_4e_top1
3890,509870080,4.3384,old_baseline_4e_top1
3900,511180800,4.3162,old_baseline_4e_top1
3910,512491520,4.3521,old_baseline_4e_top1
3920,513802240,4.3621,old_baseline_4e_top1
3930,515112960,4.3066,old_baseline_4e_top1
3940,516423680,4.2677,old_baseline_4e_top1
3950,517734400,4.3289,old_baseline_4e_top1
3960,519045120,4.3307,old_baseline_4e_top1
3970,520355840,4.4097,old_baseline_4e_top1
3980,521666560,4.2959,old_baseline_4e_top1
3990,522977280,4.3278,old_baseline_4e_top1
4000,524288000,4.3231,old_baseline_4e_top1
4010,525598720,4.3298,old_baseline_4e_top1
4020,526909440,4.3235,old_baseline_4e_top1
4030,528220160,4.202,old_baseline_4e_top1
4040,529530880,4.2786,old_baseline_4e_top1
4050,530841600,4.251,old_baseline_4e_top1
4060,532152320,4.302,old_baseline_4e_top1
4070,533463040,4.2499,old_baseline_4e_top1
4080,534773760,4.3356,old_baseline_4e_top1
4090,536084480,4.334,old_baseline_4e_top1
4100,537395200,4.2645,old_baseline_4e_top1
4110,538705920,4.277,old_baseline_4e_top1
4120,540016640,4.3485,old_baseline_4e_top1
4130,541327360,4.3398,old_baseline_4e_top1
4140,542638080,4.2759,old_baseline_4e_top1
4150,543948800,4.2803,old_baseline_4e_top1
4160,545259520,4.2542,old_baseline_4e_top1
4170,546570240,4.3188,old_baseline_4e_top1
4180,547880960,4.339,old_baseline_4e_top1
4190,549191680,4.2386,old_baseline_4e_top1
