benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
ruler_8192,niah_single_1,recent_plus_retrieval_raw_k2,1,1,0.05714285714285715,1.0,2097,0.26608298439284356,4.3041823441162705,1.459731701323194
ruler_8192,niah_single_1,recent_plus_span_top3_b0_a0,1,1,0.05714285714285715,1.0,1582,0.20073594721482046,4.141704686917365,1.5169964763128596
ruler_8192,niah_single_1,router,1,1,0.05714285714285715,1.0,1582,0.20073594721482046,4.148133379872888,1.5146454659504287
ruler_8192,niah_single_1,router_safe,1,1,0.05714285714285715,1.0,1582,0.20073594721482046,4.143967992160469,1.5161679404542079
ruler_8192,niah_single_2,full_raw,1,1,0.052631578947368425,1.0,8061,1.0,6.340999301057309,1.0
ruler_8192,niah_single_2,recent_plus_retrieval_raw_k2,1,1,0.05,1.0,3282,0.40714551544473393,4.8255414720624685,1.3140492808462225
ruler_8192,niah_single_2,recent_plus_span_top3_b0_a0,1,1,0.05,1.0,3647,0.4524252574122317,4.889125111978501,1.2969599173319728
ruler_8192,niah_single_2,router,1,1,0.05,1.0,2615,0.32440143902741597,4.533972463104874,1.3985526715605545
ruler_8192,niah_single_2,router_safe,1,1,0.05,1.0,2615,0.32440143902741597,4.724284587893635,1.342213658615452
ruler_8192,vt,full_raw,1,1,0.06451612903225806,1.0,7937,1.0,6.397854740265757,1.0
ruler_8192,vt,recent_plus_retrieval_raw_k2,1,1,0.05882352941176471,1.0,2156,0.27163915837218094,4.417375277262181,1.448338512962169
ruler_8192,vt,recent_plus_span_top3_b0_a0,1,1,0.06060606060606061,1.0,1606,0.20234345470580825,4.221814978867769,1.5154275524365994
ruler_8192,vt,router,1,0,0.0,0.0,1311,0.1651757591029356,4.166093387641013,1.5356964294764515
ruler_8192,vt,router_safe,1,1,0.06060606060606061,1.0,1606,0.20234345470580825,4.2349854707717896,1.5107146847188127
