step,loss,tokens,model
2780,4.6265,364380160,old_baseline_4e_top1
2790,4.6484,365690880,old_baseline_4e_top1
2800,4.6838,367001600,old_baseline_4e_top1
2810,4.6709,368312320,old_baseline_4e_top1
2820,4.6747,369623040,old_baseline_4e_top1
2830,4.6112,370933760,old_baseline_4e_top1
2840,4.6095,372244480,old_baseline_4e_top1
2850,4.6522,373555200,old_baseline_4e_top1
2860,4.6448,374865920,old_baseline_4e_top1
2870,4.5794,376176640,old_baseline_4e_top1
2880,4.5721,377487360,old_baseline_4e_top1
2890,4.4796,378798080,old_baseline_4e_top1
2900,4.5561,380108800,old_baseline_4e_top1
2910,4.6093,381419520,old_baseline_4e_top1
2920,4.6341,382730240,old_baseline_4e_top1
2930,4.5859,384040960,old_baseline_4e_top1
2940,4.6342,385351680,old_baseline_4e_top1
2950,4.62,386662400,old_baseline_4e_top1
2960,4.5881,387973120,old_baseline_4e_top1
2970,4.5405,389283840,old_baseline_4e_top1
2980,4.5735,390594560,old_baseline_4e_top1
2990,4.6096,391905280,old_baseline_4e_top1
3000,4.5696,393216000,old_baseline_4e_top1
3010,4.6195,394526720,old_baseline_4e_top1
3020,4.5626,395837440,old_baseline_4e_top1
3030,4.4954,397148160,old_baseline_4e_top1
3040,4.5578,398458880,old_baseline_4e_top1
3050,4.5294,399769600,old_baseline_4e_top1
3060,4.6123,401080320,old_baseline_4e_top1
3070,4.56,402391040,old_baseline_4e_top1
3080,4.5268,403701760,old_baseline_4e_top1
3090,4.5591,405012480,old_baseline_4e_top1
3100,4.5622,406323200,old_baseline_4e_top1
3110,4.562,407633920,old_baseline_4e_top1
3120,4.6033,408944640,old_baseline_4e_top1
3130,4.5023,410255360,old_baseline_4e_top1
3140,4.5547,411566080,old_baseline_4e_top1
3150,4.5586,412876800,old_baseline_4e_top1
3160,4.5546,414187520,old_baseline_4e_top1
3170,4.5043,415498240,old_baseline_4e_top1
3180,4.4945,416808960,old_baseline_4e_top1
3190,4.5222,418119680,old_baseline_4e_top1
3200,4.5224,419430400,old_baseline_4e_top1
3210,4.506,420741120,old_baseline_4e_top1
3220,4.492,422051840,old_baseline_4e_top1
3230,4.4016,423362560,old_baseline_4e_top1
3240,4.4245,424673280,old_baseline_4e_top1
3250,4.5226,425984000,old_baseline_4e_top1
3260,4.4992,427294720,old_baseline_4e_top1
3270,4.4953,428605440,old_baseline_4e_top1
3280,4.4765,429916160,old_baseline_4e_top1
3290,4.5029,431226880,old_baseline_4e_top1
3300,4.4311,432537600,old_baseline_4e_top1
3310,4.4986,433848320,old_baseline_4e_top1
3320,4.4361,435159040,old_baseline_4e_top1
3330,4.5316,436469760,old_baseline_4e_top1
3340,4.3789,437780480,old_baseline_4e_top1
3350,4.4884,439091200,old_baseline_4e_top1
3360,4.4048,440401920,old_baseline_4e_top1
3370,4.5293,441712640,old_baseline_4e_top1
3380,4.4148,443023360,old_baseline_4e_top1
3390,4.5295,444334080,old_baseline_4e_top1
3400,4.3478,445644800,old_baseline_4e_top1
