layer,head,representation,left_group,right_group,centroid_cosine,centroid_l2,left_centroid_norm,right_centroid_norm
1,4,key,score_top_1pct,score_top_90pct,0.997631311416626,10.46174430847168,152.0634002685547,151.54893493652344
1,4,key,score_tail_10pct,score_top_1pct,0.9955946803092957,14.308740615844727,150.18785095214844,152.0634002685547
1,4,key,score_tail_10pct,score_top_90pct,0.9991351962089539,6.420013904571533,150.18785095214844,151.54893493652344
1,4,value,score_top_1pct,score_top_90pct,0.8597575426101685,0.14056257903575897,0.2704608738422394,0.2585941255092621
1,4,value,score_tail_10pct,score_top_1pct,0.661149799823761,0.25628092885017395,0.3353580832481384,0.2704608738422394
1,4,value,score_tail_10pct,score_top_90pct,0.6564918756484985,0.25587472319602966,0.3353580832481384,0.2585941255092621
1,4,weighted_value,score_top_1pct,score_top_90pct,0.6762887239456177,0.003567467210814357,0.0036204608622938395,7.906211976660416e-05
1,4,weighted_value,score_tail_10pct,score_top_1pct,0.6139987111091614,0.0036204548086971045,9.196953421053422e-09,0.0036204608622938395
1,4,weighted_value,score_tail_10pct,score_top_90pct,0.4468527138233185,7.905765232862905e-05,9.196953421053422e-09,7.906211976660416e-05
1,5,key,score_top_1pct,score_top_90pct,0.9978004097938538,10.318377494812012,153.71485900878906,151.75363159179688
1,5,key,score_tail_10pct,score_top_1pct,0.9938910007476807,17.519634246826172,148.4026336669922,153.71485900878906
1,5,key,score_tail_10pct,score_top_90pct,0.9981529116630554,9.717315673828125,148.4026336669922,151.75363159179688
1,5,value,score_top_1pct,score_top_90pct,0.21991363167762756,0.312713086605072,0.2521821856498718,0.2485107034444809
1,5,value,score_tail_10pct,score_top_1pct,-0.11173612624406815,0.5301581025123596,0.4390113353729248,0.2521821856498718
1,5,value,score_tail_10pct,score_top_90pct,0.6419046521186829,0.3382694125175476,0.4390113353729248,0.2485107034444809
1,5,weighted_value,score_top_1pct,score_top_90pct,0.669242799282074,0.0015276798512786627,0.0015670869033783674,5.985051393508911e-05
1,5,weighted_value,score_tail_10pct,score_top_1pct,0.29634127020835876,0.0015669043641537428,6.164913202155731e-07,0.0015670869033783674
1,5,weighted_value,score_tail_10pct,score_top_90pct,0.3864959478378296,5.9614951169351116e-05,6.164913202155731e-07,5.985051393508911e-05
1,6,key,score_top_1pct,score_top_90pct,0.9968189597129822,12.098958015441895,144.24960327148438,147.5603485107422
1,6,key,score_tail_10pct,score_top_1pct,0.9921330809593201,19.04029083251953,149.1506805419922,144.24960327148438
1,6,key,score_tail_10pct,score_top_90pct,0.9986002445220947,8.008817672729492,149.1506805419922,147.5603485107422
1,6,value,score_top_1pct,score_top_90pct,0.3836663067340851,0.22345733642578125,0.23189514875411987,0.15279467403888702
1,6,value,score_tail_10pct,score_top_1pct,-0.10765822231769562,0.33693158626556396,0.22073934972286224,0.23189514875411987
1,6,value,score_tail_10pct,score_top_90pct,0.7652576565742493,0.1430075615644455,0.22073934972286224,0.15279467403888702
1,6,weighted_value,score_top_1pct,score_top_90pct,0.25212037563323975,0.0024625700898468494,0.002504702191799879,0.00019617730868048966
1,6,weighted_value,score_tail_10pct,score_top_1pct,0.19904690980911255,0.0025046933442354202,4.44320917836194e-08,0.002504702191799879
1,6,weighted_value,score_tail_10pct,score_top_90pct,0.09284040331840515,0.0001961731759365648,4.44320917836194e-08,0.00019617730868048966
1,7,key,score_top_1pct,score_top_90pct,0.996688187122345,12.328795433044434,144.15257263183594,147.4951934814453
1,7,key,score_tail_10pct,score_top_1pct,0.99196457862854,19.240604400634766,149.1250457763672,144.15257263183594
1,7,key,score_tail_10pct,score_top_90pct,0.9986333847045898,7.923132419586182,149.1250457763672,147.4951934814453
1,7,value,score_top_1pct,score_top_90pct,0.28669846057891846,0.2714396119117737,0.2728239893913269,0.15146183967590332
1,7,value,score_tail_10pct,score_top_1pct,-0.40895259380340576,0.39577481150627136,0.1960853934288025,0.2728239893913269
1,7,value,score_tail_10pct,score_top_90pct,0.6182569861412048,0.1570553332567215,0.1960853934288025,0.15146183967590332
1,7,weighted_value,score_top_1pct,score_top_90pct,0.14347076416015625,0.002886656206101179,0.0029131555929780006,0.0002730610722210258
1,7,weighted_value,score_tail_10pct,score_top_1pct,0.011439208872616291,0.0029131551273167133,4.408669818101174e-10,0.0029131555929780006
