layer,head,representation,component,singular_value,energy_ratio
0,9,value,5,21.630746841430664,0.021050055715336594
0,9,value,6,20.804012298583984,0.01947172486313402
0,9,value,7,20.215869903564453,0.018386331616040027
0,9,value,8,19.68169593811035,0.01742750663990127
0,9,weighted_value,1,3.480012893676758,0.09497925459288156
0,9,weighted_value,2,3.3033621311187744,0.08558140704977409
0,9,weighted_value,3,2.957545757293701,0.0686009288038843
0,9,weighted_value,4,2.554060697555542,0.05115987550952078
0,9,weighted_value,5,2.422111749649048,0.046010335879432505
0,9,weighted_value,6,2.245180368423462,0.039533887591858184
0,9,weighted_value,7,2.1236767768859863,0.03537071888474204
0,9,weighted_value,8,2.087552547454834,0.03417762523425026
0,10,key,1,3688.71484375,0.6928012124694074
0,10,key,2,1207.4012451171875,0.0742269663063443
0,10,key,3,909.937255859375,0.04215813265196662
0,10,key,4,833.2522583007812,0.035351795074325953
0,10,key,5,758.4508666992188,0.029289595652627533
0,10,key,6,376.8246154785156,0.00722997843027364
0,10,key,7,355.2402038574219,0.006425437351618531
0,10,key,8,352.7310485839844,0.006334988796597737
0,10,value,1,65.39527893066406,0.15757834880109778
0,10,value,2,47.87726593017578,0.08446220902112705
0,10,value,3,37.251277923583984,0.05113121401985563
0,10,value,4,35.218544006347656,0.04570319350732195
0,10,value,5,31.270675659179688,0.03603116317596313
0,10,value,6,30.60430145263672,0.03451188611001658
0,10,value,7,26.21894645690918,0.025329943768163745
0,10,value,8,25.662681579589844,0.02426653805945667
0,10,weighted_value,1,2.058459758758545,0.1932422429056506
0,10,weighted_value,2,1.3447864055633545,0.08247530443608085
0,10,weighted_value,3,1.2421921491622925,0.07037118546813216
0,10,weighted_value,4,1.1431764364242554,0.05959966724822228
0,10,weighted_value,5,0.9789065718650818,0.043701847302938565
0,10,weighted_value,6,0.8804672360420227,0.035354419130314535
0,10,weighted_value,7,0.8594242930412292,0.03368469024810726
0,10,weighted_value,8,0.7956777811050415,0.028872990536941274
0,11,key,1,3586.9052734375,0.6811714895258129
0,11,key,2,1209.8812255859375,0.07750007491708337
0,11,key,3,904.61474609375,0.043325538858623974
0,11,key,4,862.5951538085938,0.0393940539123368
0,11,key,5,768.6226196289062,0.03127828764983028
0,11,key,6,387.90325927734375,0.00796642559987847
0,11,key,7,358.6070251464844,0.006808543766327861
0,11,key,8,354.82354736328125,0.006665634775827358
0,11,value,1,70.70903778076172,0.17953582563254902
0,11,value,2,49.132080078125,0.08668252840499237
0,11,value,3,38.07686233520508,0.052062327069739754
0,11,value,4,32.36298751831055,0.03760957969684432
0,11,value,5,30.95665168762207,0.034411945778147685
0,11,value,6,28.05328941345215,0.02825978496504479
0,11,value,7,27.419456481933594,0.026997214190602033
0,11,value,8,24.650615692138672,0.02182010371682175
0,11,weighted_value,1,0.43574899435043335,0.26614911053831747
0,11,weighted_value,2,0.2452765256166458,0.08432652492537883
0,11,weighted_value,3,0.21986395120620728,0.06775795484052852
0,11,weighted_value,4,0.20302653312683105,0.05777737804120673
0,11,weighted_value,5,0.18261344730854034,0.04674312483365032
0,11,weighted_value,6,0.16512218117713928,0.038217569647464526
0,11,weighted_value,7,0.14195285737514496,0.028244930464609717
0,11,weighted_value,8,0.13718216121196747,0.026378343132826415
0,12,key,1,11036.8564453125,0.9099066887371592
0,12,key,2,1809.0635986328125,0.024446333938539715
0,12,key,3,1327.20654296875,0.013157794463814623
0,12,key,4,1304.2025146484375,0.012705628020545128
0,12,key,5,1029.73388671875,0.007920563491776668
0,12,key,6,617.5999145507812,0.0028491841811873054
0,12,key,7,609.1366577148438,0.0027716318416860777
0,12,key,8,437.8822021484375,0.001432256022264614
0,12,value,1,71.28723907470703,0.16631859295553603
0,12,value,2,31.68667221069336,0.03286022060369158
0,12,value,3,28.365934371948242,0.026333670659485046
0,12,value,4,27.09132194519043,0.024020254631840276
0,12,value,5,24.872671127319336,0.020247064545800098
0,12,value,6,23.799766540527344,0.018537988403123876
0,12,value,7,22.605974197387695,0.01672490529955838
0,12,value,8,22.424285888671875,0.016457143480459437
0,12,weighted_value,1,5.32247257232666,0.1534064617734825
0,12,weighted_value,2,4.322807312011719,0.10119255089516314
0,12,weighted_value,3,2.9738235473632812,0.047890258472263546
0,12,weighted_value,4,2.9503567218780518,0.04713742417180234
0,12,weighted_value,5,2.8332693576812744,0.043470288092382146
0,12,weighted_value,6,2.7464895248413086,0.04084817734532098
0,12,weighted_value,7,2.6708500385284424,0.038629207409016306
0,12,weighted_value,8,2.5136208534240723,0.034214983150533236
0,13,key,1,11216.3857421875,0.9185447195008232
0,13,key,2,1775.9044189453125,0.023026800973389744
0,13,key,3,1279.008544921875,0.01194376702409248
0,13,key,4,1210.673583984375,0.010701596315760122
0,13,key,5,976.7567138671875,0.006965739703614279
0,13,key,6,610.0914916992188,0.002717592706324246
0,13,key,7,595.2367553710938,0.00258686588134274
0,13,key,8,419.25762939453125,0.001283383289665729
0,13,value,1,71.71623992919922,0.17813911882700056
0,13,value,2,29.945158004760742,0.03105828670331182
0,13,value,3,28.22606086730957,0.02759464581674205
0,13,value,4,25.70366668701172,0.02288307786796699
0,13,value,5,24.718765258789062,0.021163028815000783
0,13,value,6,23.238309860229492,0.018703950882344413
0,13,value,7,22.231672286987305,0.017118611687196902
0,13,value,8,21.96265983581543,0.016706833598454585
0,13,weighted_value,1,2.0323712825775146,0.30312304013720326
0,13,weighted_value,2,1.8974429368972778,0.264210635982816
0,13,weighted_value,3,1.288935899734497,0.12192015003886585
0,13,weighted_value,4,0.93913733959198,0.0647248518448043
0,13,weighted_value,5,0.7740205526351929,0.043966088927577064
0,13,weighted_value,6,0.7186017036437988,0.03789564763768181
0,13,weighted_value,7,0.7126480937004089,0.037270318500902226
0,13,weighted_value,8,0.5047594308853149,0.01869742210664888
