step   2250/5000  loss=4.6906  ppl=108.9  grad_norm=0.42  tok/s=4,027  tokens=73,728,000
step   2275/5000  loss=4.6937  ppl=109.3  grad_norm=0.45  tok/s=4,025  tokens=74,547,200
step   2300/5000  loss=4.6848  ppl=108.3  grad_norm=0.54  tok/s=4,026  tokens=75,366,400
step   2325/5000  loss=4.6663  ppl=106.3  grad_norm=0.51  tok/s=4,027  tokens=76,185,600
step   2350/5000  loss=4.6534  ppl=104.9  grad_norm=0.48  tok/s=4,026  tokens=77,004,800
step   2375/5000  loss=4.6562  ppl=105.2  grad_norm=0.48  tok/s=4,015  tokens=77,824,000
step   2400/5000  loss=4.6613  ppl=105.8  grad_norm=0.51  tok/s=4,012  tokens=78,643,200
step   2425/5000  loss=4.6764  ppl=107.4  grad_norm=0.45  tok/s=4,013  tokens=79,462,400
step   2450/5000  loss=4.6514  ppl=104.7  grad_norm=0.47  tok/s=3,841  tokens=80,281,600
step   2475/5000  loss=4.6305  ppl=102.6  grad_norm=0.45  tok/s=3,303  tokens=81,100,800
step   2500/5000  loss=4.6312  ppl=102.6  grad_norm=0.50  tok/s=3,337  tokens=81,920,000
step   2525/5000  loss=4.6239  ppl=101.9  grad_norm=0.51  tok/s=3,483  tokens=82,739,200
step   2550/5000  loss=4.6408  ppl=103.6  grad_norm=0.46  tok/s=3,636  tokens=83,558,400
step   2575/5000  loss=4.6556  ppl=105.2  grad_norm=0.46  tok/s=3,594  tokens=84,377,600
step   2600/5000  loss=4.6206  ppl=101.6  grad_norm=0.53  tok/s=3,470  tokens=85,196,800
step   2625/5000  loss=4.6211  ppl=101.6  grad_norm=0.45  tok/s=3,574  tokens=86,016,000
step   2650/5000  loss=4.6305  ppl=102.6  grad_norm=0.45  tok/s=3,101  tokens=86,835,200
step   2675/5000  loss=4.6118  ppl=100.7  grad_norm=0.46  tok/s=3,803  tokens=87,654,400
step   2700/5000  loss=4.6259  ppl=102.1  grad_norm=0.44  tok/s=3,568  tokens=88,473,600
step   2725/5000  loss=4.6262  ppl=102.1  grad_norm=0.47  tok/s=3,776  tokens=89,292,800
step   2750/5000  loss=4.6032  ppl=99.8  grad_norm=0.47  tok/s=3,225  tokens=90,112,000
step   2775/5000  loss=4.5961  ppl=99.1  grad_norm=0.48  tok/s=3,795  tokens=90,931,200
step   2800/5000  loss=4.6016  ppl=99.6  grad_norm=0.45  tok/s=2,979  tokens=91,750,400
step   2825/5000  loss=4.6023  ppl=99.7  grad_norm=0.47  tok/s=3,821  tokens=92,569,600
step   2850/5000  loss=4.5909  ppl=98.6  grad_norm=0.48  tok/s=3,333  tokens=93,388,800
step   2875/5000  loss=4.6290  ppl=102.4  grad_norm=0.51  tok/s=4,033  tokens=94,208,000
step   2900/5000  loss=4.6071  ppl=100.2  grad_norm=0.50  tok/s=3,149  tokens=95,027,200
step   2925/5000  loss=4.5793  ppl=97.4  grad_norm=0.46  tok/s=3,511  tokens=95,846,400
step   2950/5000  loss=4.5812  ppl=97.6  grad_norm=0.46  tok/s=3,358  tokens=96,665,600
step   2975/5000  loss=4.5911  ppl=98.6  grad_norm=0.50  tok/s=3,603  tokens=97,484,800
step   3000/5000  loss=4.5586  ppl=95.5  grad_norm=0.47  tok/s=3,625  tokens=98,304,000
  → saved checkpoint: /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/checkpoints/step_3000.pt
step   3025/5000  loss=4.5831  ppl=97.8  grad_norm=0.46  tok/s=3,711  tokens=99,123,200
step   3050/5000  loss=4.5672  ppl=96.3  grad_norm=0.44  tok/s=3,413  tokens=99,942,400
step   3075/5000  loss=4.5714  ppl=96.7  grad_norm=0.46  tok/s=3,176  tokens=100,761,600
step   3100/5000  loss=4.5859  ppl=98.1  grad_norm=0.45  tok/s=3,630  tokens=101,580,800
step   3125/5000  loss=4.5576  ppl=95.4  grad_norm=0.44  tok/s=3,170  tokens=102,400,000
step   3150/5000  loss=4.5383  ppl=93.5  grad_norm=0.44  tok/s=3,858  tokens=103,219,200
step   3175/5000  loss=4.5545  ppl=95.1  grad_norm=0.46  tok/s=3,489  tokens=104,038,400
step   3200/5000  loss=4.5367  ppl=93.4  grad_norm=0.45  tok/s=3,806  tokens=104,857,600
step   3225/5000  loss=4.5473  ppl=94.4  grad_norm=0.47  tok/s=3,030  tokens=105,676,800
step   3250/5000  loss=4.5518  ppl=94.8  grad_norm=0.45  tok/s=3,975  tokens=106,496,000
step   3275/5000  loss=4.5303  ppl=92.8  grad_norm=0.43  tok/s=3,346  tokens=107,315,200
step   3300/5000  loss=4.5597  ppl=95.6  grad_norm=0.43  tok/s=3,771  tokens=108,134,400
step   3325/5000  loss=4.5545  ppl=95.1  grad_norm=0.46  tok/s=3,166  tokens=108,953,600
step   3350/5000  loss=4.5460  ppl=94.3  grad_norm=0.44  tok/s=4,011  tokens=109,772,800
step   3375/5000  loss=4.5488  ppl=94.5  grad_norm=0.45  tok/s=3,230  tokens=110,592,000
step   3400/5000  loss=4.5295  ppl=92.7  grad_norm=0.47  tok/s=3,597  tokens=111,411,200
step   3425/5000  loss=4.5339  ppl=93.1  grad_norm=0.45  tok/s=3,302  tokens=112,230,400
step   3450/5000  loss=4.5440  ppl=94.1  grad_norm=0.44  tok/s=4,030  tokens=113,049,600
step   3475/5000  loss=4.5290  ppl=92.7  grad_norm=0.48  tok/s=3,343  tokens=113,868,800
step   3500/5000  loss=4.5195  ppl=91.8  grad_norm=0.47  tok/s=3,459  tokens=114,688,000
step   3525/5000  loss=4.5427  ppl=93.9  grad_norm=0.49  tok/s=3,410  tokens=115,507,200
step   3550/5000  loss=4.5239  ppl=92.2  grad_norm=0.44  tok/s=3,885  tokens=116,326,400
step   3575/5000  loss=4.5188  ppl=91.7  grad_norm=0.48  tok/s=3,380  tokens=117,145,600
step   3600/5000  loss=4.5117  ppl=91.1  grad_norm=0.44  tok/s=3,265  tokens=117,964,800
step   3625/5000  loss=4.5004  ppl=90.1  grad_norm=0.47  tok/s=3,648  tokens=118,784,000
Traceback (most recent call last):
  File "/Users/bytedance/kv_cache/fdong_embedding_dim/workbuddy_scripts/small_lm_crs.py", line 717, in <module>
    train(args)
    ~~~~~^^^^^^
  File "/Users/bytedance/kv_cache/fdong_embedding_dim/workbuddy_scripts/small_lm_crs.py", line 587, in train
    running_loss += loss_raw.item()
                    ~~~~~~~~~~~~~^^
KeyboardInterrupt
